Species 1,Species 2,Correlation
Actinomyces,Atopobium,0.785317634
Mobiluncus,Dorea,0.97539224
Corynebacterium,Brachymonas,0.755972407
Gordonia,Candidatus Protochlamydia,1
Gordonia,Sphingobium,1
Gordonia,Sphingomonas,0.984756926
Gordonia,Propionivibrio,0.92597813
Gordonia,Pseudomonas,0.868989479
Bifidobacterium,Atopobium,0.717835501
Bifidobacterium,Lactobacillus,0.90931607
Adlercreutzia,Paludibacter,0.953133846
Adlercreutzia,Tannerella,0.943244817
Adlercreutzia,Prevotella.1,0.822351334
Adlercreutzia,Johnsonella,0.836991317
Adlercreutzia,Filifactor,0.77173049
Adlercreutzia,Dialister,0.756373969
Adlercreutzia,Fusobacterium,0.873516335
Adlercreutzia,Eikenella,0.918457191
Adlercreutzia,Desulfobulbus,0.827834552
Adlercreutzia,Desulfomicrobium,0.93852204
Adlercreutzia,Desulfovibrio,0.937050814
Adlercreutzia,Aggregatibacter,0.730572834
Adlercreutzia,Haemophilus,0.852185391
Adlercreutzia,Treponema,0.880725737
Adlercreutzia,TG5,0.746931652
Olsenella,Slackia,0.892724742
Olsenella,Pseudoramibacter_Eubacterium,0.864395265
Olsenella,Parvimonas,0.891711144
Olsenella,Peptoniphilus,0.934270337
Slackia,Pseudoramibacter_Eubacterium,0.760830648
Slackia,Parvimonas,0.869676681
Slackia,Peptoniphilus,0.850683671
Paludibacter,Tannerella,0.991133311
Paludibacter,Prevotella.1,0.873232729
Paludibacter,Johnsonella,0.890611202
Paludibacter,Dialister,0.809433306
Paludibacter,Fusobacterium,0.942958679
Paludibacter,Eikenella,0.956099696
Paludibacter,Desulfobulbus,0.849002668
Paludibacter,Desulfomicrobium,0.995796281
Paludibacter,Desulfovibrio,0.992926041
Paludibacter,Aggregatibacter,0.79244796
Paludibacter,Haemophilus,0.920062922
Paludibacter,Treponema,0.942214708
Paludibacter,TG5,0.791508131
Porphyromonas,Capnocytophaga,0.727277525
Porphyromonas,Neisseria,0.83190543
Porphyromonas,Aggregatibacter,0.764990915
Porphyromonas,Haemophilus,0.772919885
Tannerella,Prevotella.1,0.866534422
Tannerella,Johnsonella,0.87362677
Tannerella,Dialister,0.798788401
Tannerella,Fusobacterium,0.950567722
Tannerella,Eikenella,0.955422209
Tannerella,Desulfobulbus,0.85171195
Tannerella,Desulfomicrobium,0.987727713
Tannerella,Desulfovibrio,0.985614736
Tannerella,Aggregatibacter,0.83137816
Tannerella,Haemophilus,0.945008422
Tannerella,Treponema,0.938980237
Tannerella,TG5,0.791728484
Prevotella.1,Johnsonella,0.765910272
Prevotella.1,Dialister,0.811361266
Prevotella.1,Fusobacterium,0.86603766
Prevotella.1,Eikenella,0.860064497
Prevotella.1,Desulfobulbus,0.732174193
Prevotella.1,Desulfomicrobium,0.866269878
Prevotella.1,Desulfovibrio,0.866431756
Prevotella.1,Haemophilus,0.78034883
Prevotella.1,Treponema,0.897875509
Prevotella.1,TG5,0.900376091
Capnocytophaga,Leptotrichia,0.708272117
Candidatus Protochlamydia,Sphingobium,1
Candidatus Protochlamydia,Sphingomonas,0.984756926
Candidatus Protochlamydia,Propionivibrio,0.92597813
Candidatus Protochlamydia,Pseudomonas,0.868989479
Gemella,Finegoldia,0.987282251
Aerococcus,Acholeplasma,1
Aerococcus,Mycoplasma,1
Pseudoramibacter_Eubacterium,Parvimonas,0.801928032
Pseudoramibacter_Eubacterium,Peptoniphilus,0.803533129
Butyrivibrio,Selenomonas,0.713774132
Butyrivibrio,PSB-M-3,0.789716667
Butyrivibrio,Lautropia,0.718074152
Johnsonella,Dialister,0.707930041
Johnsonella,Fusobacterium,0.812884201
Johnsonella,Eikenella,0.831443779
Johnsonella,Desulfobulbus,0.734001599
Johnsonella,Desulfomicrobium,0.888639885
Johnsonella,Desulfovibrio,0.887025419
Johnsonella,Haemophilus,0.829247941
Johnsonella,Treponema,0.822535994
Filifactor,Eikenella,0.70576328
Filifactor,Desulfobulbus,0.735083587
Filifactor,Treponema,0.728353355
Acidaminococcus,Afipia,1
Dialister,Schwartzia,0.716754644
Dialister,Fusobacterium,0.805557326
Dialister,Eikenella,0.791886854
Dialister,Desulfobulbus,0.774858213
Dialister,Desulfomicrobium,0.791936353
Dialister,Desulfovibrio,0.802054723
Dialister,Haemophilus,0.729838639
Dialister,Treponema,0.850470622
Dialister,TG5,0.808603929
Schwartzia,Propionivibrio,0.838716603
Schwartzia,TG5,0.746990631
Anaerovorax,Moraxella,0.887617246
Mogibacterium,Bulleidia,0.706667962
Parvimonas,Peptoniphilus,0.830300525
Parvimonas,TG5,0.769266906
PSB-M-3,Lautropia,0.935216874
Fusobacterium,Eikenella,0.906363309
Fusobacterium,Desulfobulbus,0.828847907
Fusobacterium,Desulfomicrobium,0.931010375
Fusobacterium,Desulfovibrio,0.933000055
Fusobacterium,Aggregatibacter,0.813872068
Fusobacterium,Haemophilus,0.935962219
Fusobacterium,Treponema,0.959366157
Fusobacterium,TG5,0.81253721
Sphingobium,Sphingomonas,0.984756926
Sphingobium,Propionivibrio,0.92597813
Sphingobium,Pseudomonas,0.868989479
Sphingomonas,Propionivibrio,0.908959821
Sphingomonas,Campylobacter,0.732627915
Sphingomonas,Pseudomonas,0.907369434
Eikenella,Desulfobulbus,0.835379008
Eikenella,Desulfomicrobium,0.952514531
Eikenella,Desulfovibrio,0.952330493
Eikenella,Aggregatibacter,0.760263637
Eikenella,Haemophilus,0.862744715
Eikenella,Treponema,0.910254759
Eikenella,TG5,0.84037406
Kingella,Cardiobacterium,0.776905021
Propionivibrio,Campylobacter,0.719508368
Propionivibrio,Pseudomonas,0.7960582
Desulfobulbus,Desulfomicrobium,0.825037754
Desulfobulbus,Desulfovibrio,0.834774006
Desulfobulbus,Haemophilus,0.76649741
Desulfobulbus,Treponema,0.876659106
Desulfobulbus,TG5,0.756090248
Desulfomicrobium,Desulfovibrio,0.992465487
Desulfomicrobium,Aggregatibacter,0.804276987
Desulfomicrobium,Haemophilus,0.915577911
Desulfomicrobium,Treponema,0.925007278
Desulfomicrobium,TG5,0.776482982
Desulfovibrio,Aggregatibacter,0.78734609
Desulfovibrio,Haemophilus,0.914548574
Desulfovibrio,Treponema,0.923567586
Desulfovibrio,TG5,0.770183218
Wolinella,Pyramidobacter,1
Halomonas,Enhydrobacter,0.856162117
Aggregatibacter,Haemophilus,0.853945615
Aggregatibacter,Treponema,0.76447898
Haemophilus,Treponema,0.884724993
Treponema,TG5,0.876855289
Acholeplasma,Mycoplasma,1
