index,Actinomyces,Mobiluncus,Corynebacterium,Gordonia,Rothia,Alloscardovia,Bifidobacterium,Scardovia,Adlercreutzia,Atopobium,Olsenella,Slackia,Bacteroides,Paludibacter,Porphyromonas,Tannerella,Prevotella,Odoribacter,Prevotella,Capnocytophaga,Wautersiella,Candidatus Protochlamydia,SHD-231,Staphylococcus,Gemella,Abiotrophia,Aerococcus,Granulicatella,Lactobacillus,Streptococcus,Pseudoramibacter_Eubacterium,Butyrivibrio,Catonella,Dorea,Johnsonella,Lachnoanaerobaculum,Moryella,Oribacterium,Shuttleworthia,Peptococcus,Filifactor,Peptostreptococcus,Acidaminococcus,Dialister,Megasphaera,Schwartzia,Selenomonas,Veillonella,Anaerovorax,Mogibacterium,Finegoldia,Parvimonas,Peptoniphilus,Carboxydocella,Bulleidia,PSB-M-3,Sharpea,Fusobacterium,Leptotrichia,Afipia,Ochrobactrum,Sphingobium,Sphingomonas,Lautropia,Brachymonas,Conchiformibius,Eikenella,Kingella,Neisseria,Propionivibrio,Desulfobulbus,Desulfomicrobium,Desulfovibrio,Campylobacter,Wolinella,Cardiobacterium,Halomonas,Actinobacillus,Aggregatibacter,Haemophilus,Acinetobacter,Enhydrobacter,Moraxella,Pseudomonas,Treponema,Pyramidobacter,TG5,Acholeplasma,Mycoplasma
SRR13283031,425,0,491,0,525,0,0,0,0,29,0,3,0,10,242,10,262,0,0,651,0,0,8,0,0,452,0,292,0,25077,0,0,4,0,0,86,0,31,10,0,110,41,0,41,54,23,75,407,0,17,0,97,0,0,56,0,0,35,554,0,0,0,0,575,18,0,17,95,1804,0,7,0,0,13,0,215,0,0,149,3089,0,0,0,0,0,0,0,0,0
SRR13283032,1322,0,86,0,6411,0,0,0,0,166,0,0,0,8,3590,53,2088,0,8,924,0,0,0,0,0,9,0,0,0,17208,0,0,28,0,0,353,165,1636,0,0,8,427,0,13,0,0,80,7079,79,35,0,410,0,5,475,0,0,1204,2022,0,0,0,0,260,0,0,0,0,8061,0,0,0,0,255,0,92,0,0,0,14240,0,0,0,0,0,0,0,0,0
SRR13283033,364,0,28,0,11647,0,8,0,0,43,0,0,0,13,3379,8,755,0,7,1288,0,0,0,0,0,0,0,26,0,10333,0,4,178,0,0,387,224,1056,11,0,0,349,0,11,6,16,364,5418,9,12,0,206,0,0,135,0,0,591,3104,0,0,0,0,81,0,29,0,57,17563,0,0,0,0,365,0,83,0,115,155,5435,0,0,5,0,0,0,9,0,0
SRR13283034,456,0,94,0,8874,0,8,0,0,80,0,0,0,11,2293,0,702,0,0,817,0,0,2,0,0,15,0,38,0,17572,0,0,77,0,0,442,160,1210,8,0,14,444,9,20,0,9,489,4502,34,34,0,106,0,0,264,0,0,399,1806,3,0,0,0,140,0,25,21,14,9515,0,0,0,0,231,0,192,0,84,127,3310,0,0,6,0,0,0,25,0,0
SRR13283035,1453,0,154,0,7604,0,0,11,0,390,0,0,3,0,707,0,1995,0,21,467,0,0,3,0,0,176,0,125,0,23285,0,0,27,0,0,297,156,1044,0,0,126,270,0,55,152,22,212,6125,6,47,0,97,0,0,477,0,5,1330,478,0,0,0,0,437,0,0,13,137,17185,0,4,0,6,392,0,131,0,236,177,3700,0,0,0,0,5,0,38,0,0
SRR13283036,1576,10,243,0,17703,0,0,35,17,352,0,11,0,658,7123,591,6106,0,515,1650,0,0,9,0,0,878,0,351,0,43642,0,0,74,0,10,592,542,387,11,0,810,661,0,598,1024,290,1052,48631,0,76,0,1569,0,0,280,0,0,9776,5764,0,0,0,0,1415,0,0,331,239,19065,12,91,63,102,367,0,264,0,501,3244,54484,0,0,0,0,673,0,1846,0,0
SRR13283037,2314,0,40,0,8347,0,12,30,0,568,143,46,0,9,27,13,787,0,253,18,0,0,0,0,0,0,0,0,80,13569,7,6,0,0,0,15,120,112,14,0,0,631,0,222,389,117,368,11773,0,139,0,3542,32,0,159,0,0,1388,184,0,0,0,0,0,0,0,42,5,40,0,4,0,0,64,0,129,0,0,0,1109,0,0,0,0,123,0,1231,0,0
SRR13283038,2512,0,73,0,7728,9,0,0,0,611,0,0,0,0,5578,45,2224,0,7,442,0,0,0,0,0,140,0,302,0,14892,0,45,83,0,0,31,33,444,0,0,87,83,0,21,209,29,361,4682,0,102,0,35,0,0,343,0,0,980,1434,0,0,0,0,169,0,0,16,121,20627,0,0,0,0,423,0,222,0,423,1482,13488,0,0,0,0,0,0,3,0,0
SRR13283039,280,0,34,0,5323,0,0,0,0,108,0,0,0,10,1258,8,2268,0,8,349,0,0,6,0,0,12,0,38,0,9105,0,0,119,0,0,165,148,438,0,0,0,327,0,80,0,18,37,7669,13,8,0,264,0,0,227,0,0,1688,216,0,0,0,0,80,0,0,0,18,7175,0,0,0,0,121,0,0,0,101,14,6259,0,0,0,0,13,0,0,0,0
SRR13283040,946,0,13,0,289,0,0,0,0,114,0,0,0,0,915,10,344,0,6,154,0,0,0,0,0,117,0,83,0,7602,0,0,14,0,0,60,34,193,0,0,9,71,0,64,360,6,255,8233,29,43,0,86,0,0,126,0,0,619,1187,0,0,0,0,183,0,0,18,0,8690,0,0,0,0,160,0,37,0,599,461,6444,0,0,0,0,0,0,6,0,0
